kappa,n,true_cmi,plugin_mean,plugin_bias,mm_mean,mm_bias,floor
0.0,100,0.0,0.15066310202535121,0.15066310202535121,0.030378402991233885,0.030378402991233885,0.09462991276041433
0.0,300,0.0,0.04290213889423102,0.04290213889423102,-0.00037871233243787813,-0.00037871233243787813,0.028289132043025703
0.0,1000,0.0,0.013362158534722947,0.013362158534722947,0.00037790316672227706,0.00037790316672227706,0.00790345373159907
0.0,3000,0.0,0.004434569004132457,0.004434569004132457,0.00010648388146556648,0.00010648388146556648,0.00295453686107172
0.0,10000,0.0,0.0012756698953900498,0.0012756698953900498,-2.2755641410017223e-05,-2.2755641410017223e-05,0.000825288290410233
0.2,100,0.0780719051126377,0.2263022833306043,0.14823037821796659,0.11103094956357612,0.03295904445093842,0.15021067858411527
0.2,300,0.0780719051126377,0.12380205554282252,0.045730150430184816,0.08055727169217587,0.00248536657953817,0.0584424135964719
0.2,1000,0.0780719051126377,0.09225205868172248,0.01418015356908478,0.0792678033137218,0.0011958982010840946,0.030935781739511732
0.2,3000,0.0780719051126377,0.08346021961274723,0.005388314500109528,0.07913213449008033,0.0010602293774426286,0.02012319220925124
0.2,10000,0.0780719051126377,0.07980273527261295,0.001730830159975244,0.07850430973581288,0.0004324046231751755,0.009734414753989784
0.4,100,0.29399242068767156,0.4456090916582724,0.15161667097060083,0.3420235877224448,0.048031167034773226,0.2035532498297542
0.4,300,0.29399242068767156,0.3391921148599421,0.045199694172270544,0.29603148822001396,0.002039067532342398,0.105343965651128
0.4,1000,0.29399242068767156,0.3098562712446656,0.01586385055699402,0.29687201587666495,0.002879595188993389,0.05287152017067427
0.4,3000,0.29399242068767156,0.2986863070092323,0.0046938863215607585,0.2943582218865654,0.00036580119889384477,0.030808480142841044
0.4,10000,0.29399242068767156,0.29625731864006966,0.0022648979523980928,0.2949588931032696,0.000966472415598052,0.018692844517969542
0.6,100,0.6432203505529608,0.7952962057452134,0.15207585519225264,0.7141446096952092,0.07092425914224842,0.2909093050978764
0.6,300,0.6432203505529608,0.6876561938884191,0.04443584333545836,0.6457338804919206,0.002513529938959813,0.14673332300097258
0.6,1000,0.6432203505529608,0.65357188436795,0.010351533814989211,0.6405876289999494,-0.002632721553011419,0.07428925652225865
0.6,3000,0.6432203505529608,0.649879383674112,0.006659033121151237,0.6455512985514451,0.002330947998484323,0.045780338300144
0.6,10000,0.6432203505529608,0.6437165387184247,0.0004961881654639289,0.6424181131816247,-0.000802237371336112,0.025384004105002578
0.8,100,1.1524153201754261,1.298043435283165,0.14562811510773876,1.2609661727323183,0.10855085255689212,0.2689381611998002
0.8,300,1.1524153201754261,1.193380676823209,0.04096535664778278,1.1589122878046367,0.006496967629210593,0.16473085266867415
0.8,1000,1.1524153201754261,1.1695199855223612,0.01710466534693511,1.1565681907927805,0.004152870617354365,0.09411003470701595
0.8,3000,1.1524153201754261,1.1554316513094418,0.0030163311340156707,1.1511035661867748,-0.001311753988651354,0.0474446244689436
0.8,10000,1.1524153201754261,1.1526635576556956,0.00024823748026947534,1.1513651321188956,-0.0010501880565305655,0.02740381034134265
1.0,100,2.0,1.956528392351757,-0.043471607648243094,1.9998092435784258,-0.0001907564215741786,0.046882887868495926
1.0,300,2.0,1.9852195862956592,-0.0147804137043408,1.9996465367045488,-0.00035346329545116184,0.018653037280734086
1.0,1000,2.0,1.9957613595912782,-0.004238640408721794,2.000089444713945,8.944471394478626e-05,0.004581442538860947
1.0,3000,2.0,1.998499574826954,-0.0015004251730459384,1.9999422698678426,-5.7730132157374214e-05,0.001811271326288777
1.0,10000,2.0,1.999562285277725,-0.00043771472227494,1.9999950937899917,-4.906210008259748e-06,0.000477518165083457
