beta,budget,replicates,true_beta,est_mean,bias,floor,resolved
0.0,100,5,0.0,0.002666666666666661,0.002666666666666661,0.11999999999999997,False
0.0,300,15,0.0,0.002511111111111104,0.002511111111111104,0.06174999999999993,False
0.0,1000,50,0.0,0.0001599999999999931,0.0001599999999999931,0.03952499999999998,False
0.0,3000,150,0.0,0.0005177777777777707,0.0005177777777777707,0.021508333333333338,False
0.0,10000,500,0.0,0.0002506666666666613,0.0002506666666666613,0.013014999999999992,False
0.2,100,5,0.2,0.19866666666666666,-0.001333333333333353,0.18524999999999997,True
0.2,300,15,0.2,0.19933333333333333,-0.0006666666666666765,0.10858333333333317,True
0.2,1000,50,0.2,0.19665999999999997,-0.0033400000000000374,0.0631499999999999,True
0.2,3000,150,0.2,0.19953555555555552,-0.0004644444444444895,0.03750833333333331,True
0.2,10000,500,0.2,0.19996999999999995,-3.0000000000057758e-05,0.01840499999999999,True
0.4,100,5,0.4,0.3999999999999999,-1.1102230246251565e-16,0.20524999999999993,True
0.4,300,15,0.4,0.39602222222222216,-0.003977777777777858,0.13016666666666657,True
0.4,1000,50,0.4,0.3999066666666666,-9.333333333344518e-05,0.07157499999999992,True
0.4,3000,150,0.4,0.3998088888888888,-0.00019111111111119738,0.03666666666666665,True
0.4,10000,500,0.4,0.3996073333333332,-0.0003926666666668188,0.02356249999999996,True
0.6,100,5,0.6,0.5993333333333332,-0.0006666666666668153,0.21999999999999992,True
0.6,300,15,0.6,0.6023333333333333,0.0023333333333332984,0.11999999999999991,True
0.6,1000,50,0.6,0.6004466666666666,0.00044666666666659527,0.070525,True
0.6,3000,150,0.6,0.599951111111111,-4.8888888888987125e-05,0.037524999999999975,True
0.6,10000,500,0.6,0.6005806666666667,0.0005806666666666738,0.02130500000000002,True
0.8,100,5,0.8,0.8011999999999998,0.0011999999999997568,0.17524999999999968,True
0.8,300,15,0.8,0.7925333333333331,-0.0074666666666669546,0.09666666666666662,True
0.8,1000,50,0.8,0.7982066666666665,-0.0017933333333335355,0.05352499999999999,True
0.8,3000,150,0.8,0.7992777777777775,-0.0007222222222225128,0.033208333333333284,True
0.8,10000,500,0.8,0.7991679999999999,-0.0008320000000001659,0.019424999999999915,True
